instance_name,config,time_limit_seconds,status,makespan,best_bound,gap_pct,milp_time,n_nodes,n_ops,n_slots,n_dfa_states,n_dfa_arcs
synth_10,NOPSOS-noSBS-symOFF,300,solved,25.99999999729999,25.9994,0.0023,5.40625,3292,11,11,12,83
synth_11,NOPSOS+DFA,300,solved,19.9999999978996,19.9999999979,0.0,2.640625,1894,11,11,12,83
synth_11,NOPSOS-noSBS-symON,300,solved,19.99999909090907,19.99999909091,0.0,13.5,13508,11,11,12,83
synth_11,NOPSOS-noSBS-symOFF,300,solved,19.99999909090907,19.99999909091,0.0,13.484375,13508,11,11,12,83
synth_12,NOPSOS+DFA,300,limit,32.99999994046357,14.99999636709,54.545500000000004,299.78125,3596,16,16,17,169
synth_12,NOPSOS-noSBS-symON,300,solved,32.9999999966,32.9999999966,0.0,226.796875,108619,16,16,17,169
synth_12,NOPSOS-noSBS-symOFF,300,limit,32.9999969215907,27.0,18.1818,299.484375,106044,16,16,17,169
synth_13,NOPSOS+DFA,300,solved,24.0,24.0,0.0,0.890625,1,14,14,15,129
synth_13,NOPSOS-noSBS-symON,300,solved,24.0,24.0,0.0,0.171875,1,14,14,15,129
synth_13,NOPSOS-noSBS-symOFF,300,solved,24.0,24.0,0.0,0.140625,1,14,14,15,129
synth_14,NOPSOS+DFA,300,limit,21.99999999769999,16.00000003979,27.2727,299.296875,3802,15,15,16,148
synth_14,NOPSOS-noSBS-symON,300,solved,21.99999907692305,21.99999907692,0.0,152.203125,23292,15,15,16,148
synth_14,NOPSOS-noSBS-symOFF,300,solved,21.99999907692305,21.99999907692,0.0,154.28125,23292,15,15,16,148
synth_15,NOPSOS+DFA,300,limit,20.99999999779961,13.0,38.0952,299.4375,5844,15,15,16,150
synth_15,NOPSOS-noSBS-symON,300,limit,20.99999901944329,15.0,28.571400000000004,299.375,70071,15,15,16,150
synth_15,NOPSOS-noSBS-symOFF,300,limit,20.99999901944329,15.0,28.571400000000004,299.234375,69855,15,15,16,150
synth_16,NOPSOS+DFA,300,solved,20.99999600219644,20.9999960022,0.0,65.578125,3183,15,15,16,149
synth_16,NOPSOS-noSBS-symON,300,solved,20.99999999120055,20.9999999912,0.0,90.140625,15968,15,15,16,149
synth_16,NOPSOS-noSBS-symOFF,300,solved,20.99999999120055,20.9999999912,0.0,91.015625,15968,15,15,16,149
synth_17,NOPSOS+DFA,300,solved,23.9999999974999,23.9999999975,0.0,16.375,3171,15,15,16,149
synth_17,NOPSOS-noSBS-symON,300,solved,23.99999999749996,23.9999999975,0.0,12.078125,2553,15,15,16,149
synth_17,NOPSOS-noSBS-symOFF,300,solved,23.99999999749996,23.9999999975,0.0,12.078125,2553,15,15,16,149
synth_18,NOPSOS+DFA,300,solved,22.9999999976,22.9999999976,0.0,30.140625,2402,14,14,15,129
synth_18,NOPSOS-noSBS-symON,300,solved,22.9999999976,22.9999999976,0.0,30.703125,14896,14,14,15,129
synth_18,NOPSOS-noSBS-symOFF,300,solved,22.9999999976,22.9999999976,0.0,33.03125,14896,14,14,15,129
synth_19,NOPSOS+DFA,300,solved,28.99999999699997,28.999999997,0.0,49.53125,2005,15,15,16,150
synth_19,NOPSOS-noSBS-symON,300,solved,28.99999999699978,28.999999997,0.0,55.890625,9467,15,15,16,150
synth_19,NOPSOS-noSBS-symOFF,300,solved,28.99999999699978,28.999999997,0.0,52.5625,8210,15,15,16,150
synth_20,NOPSOS+DFA,300,solved,28.0,28.0,0.0,6.734375,1,20,20,21,258
synth_20,NOPSOS-noSBS-symON,300,solved,28.0,28.0,0.0,0.578125,1,20,20,21,258
synth_20,NOPSOS-noSBS-symOFF,300,solved,28.0,28.0,0.0,0.59375,1,20,20,21,258
synth_21,NOPSOS+DFA,300,limit,21.99999918605898,15.00000000003,31.8182,299.328125,5782,17,17,18,185
synth_21,NOPSOS-noSBS-symON,300,solved,21.99999969880131,21.9999996988,0.0,181.625,50916,17,17,18,185
synth_21,NOPSOS-noSBS-symOFF,300,limit,21.99999999079897,18.0,18.1818,299.375,64709,17,17,18,185
synth_22,NOPSOS+DFA,300,limit,26.99999999719998,23.0,14.8148,299.59375,3904,18,18,19,211
synth_22,NOPSOS-noSBS-symON,300,limit,26.99999906249996,23.0,14.8148,299.453125,31413,18,18,19,211
synth_22,NOPSOS-noSBS-symOFF,300,limit,26.99999999719999,23.0,14.8148,299.484375,37394,18,18,19,211
synth_23,NOPSOS+DFA,300,limit,34.99999956183203,22.00000000004,37.1429,299.5625,2841,21,21,22,280
synth_23,NOPSOS-noSBS-symON,300,limit,34.99999998559927,22.0,37.1429,299.3125,26025,21,21,22,280
synth_23,NOPSOS-noSBS-symOFF,300,limit,34.99999999279976,22.0,37.1429,299.53125,25246,21,21,22,280
synth_24,NOPSOS+DFA,300,limit,31.9999999967,31.0,3.125,299.46875,1872,22,22,23,310
synth_24,NOPSOS-noSBS-symON,300,limit,31.99999903125,31.0,3.125,299.453125,10211,22,22,23,310
synth_24,NOPSOS-noSBS-symOFF,300,limit,31.99999902564099,31.0,3.125,299.4375,11587,22,22,23,310
synth_25,NOPSOS+DFA,300,solved,32.0,32.0,0.0,2.5625,1,19,19,20,229
synth_25,NOPSOS-noSBS-symON,300,solved,32.0,31.99999999999,0.0,0.34375,1,19,19,20,229
synth_25,NOPSOS-noSBS-symOFF,300,solved,32.0,31.99999999999,0.0,0.34375,1,19,19,20,229
synth_26,NOPSOS+DFA,300,solved,32.9999999966,32.9999999966,0.0,4.34375,21,17,17,18,183
synth_26,NOPSOS-noSBS-symON,300,solved,33.0,33.0,0.0,0.265625,1,17,17,18,183
synth_26,NOPSOS-noSBS-symOFF,300,solved,33.0,33.0,0.0,0.265625,1,17,17,18,183
synth_27,NOPSOS+DFA,300,limit,27.99999999709209,24.00000000001,14.285700000000002,299.53125,1028,26,26,27,422
synth_27,NOPSOS-noSBS-symON,300,limit,27.99999999709993,24.0,14.285700000000002,299.3125,6979,26,26,27,422
synth_27,NOPSOS-noSBS-symOFF,300,limit,27.99999999709993,24.0,14.285700000000002,299.296875,8156,26,26,27,422
synth_28,NOPSOS+DFA,300,limit,30.99999999679978,22.00000000001,29.0323,299.515625,1307,24,24,25,357
synth_28,NOPSOS-noSBS-symON,300,solved,30.9999999968,30.9999999968,0.0,114.5625,3710,24,24,25,357
synth_28,NOPSOS-noSBS-symOFF,300,solved,30.9999999968,30.9999999968,0.0,102.140625,4017,24,24,25,357
synth_29,NOPSOS+DFA,300,solved,28.0,27.99999999998,0.0,7.59375,1,24,24,25,358
synth_29,NOPSOS-noSBS-symON,300,solved,28.0,27.99999999999,0.0,0.984375,1,24,24,25,358
synth_29,NOPSOS-noSBS-symOFF,300,solved,28.0,27.99999999999,0.0,0.96875,1,24,24,25,358
synth_30,NOPSOS+DFA,300,limit,26.99999999719998,26.0,3.7037,299.546875,1319,23,23,24,332
synth_30,NOPSOS-noSBS-symON,300,limit,26.99999997200747,26.0,3.7037,299.484375,10625,23,23,24,332
synth_30,NOPSOS-noSBS-symOFF,300,limit,26.99999999719986,26.0,3.7037,299.28125,10220,23,23,24,332
