instance_name,config,time_limit_seconds,status,obj_value,best_bound,gap,gap_pct,milp_time,total_time,n_nodes,n_ops,n_slots,n_dfa_states,n_dfa_arcs,n_binary_vars,n_variables,n_continuous_vars,n_constraints
synth_14,NOPSOS+DFA,300,solved,17928.4,17929.93381493,8.3e-05,0.0083,188.1875,188.1875,7697,15,15,17,156,2565,6120,3555,7983
synth_14,NOPSOS-noSBS-symON,300,limit,19166.7,20885.70364099,0.089687,8.9687,299.5156,299.5156,89728,15,15,17,156,2565,6120,3555,7517
synth_14,NOPSOS-noSBS-symOFF,300,limit,19166.7,20877.76804582,0.089273,8.9273,299.4844,299.4844,93593,15,15,17,156,2565,6120,3555,7517
synth_15,NOPSOS+DFA,300,solved,14591.8,14591.75428905,0.0,0.0,33.25,33.25,1710,15,15,17,156,2565,6120,3555,7983
synth_15,NOPSOS-noSBS-symON,300,solved,14591.8,14591.75428905,0.0,0.0,0.9062,0.9062,114,15,15,17,156,2565,6120,3555,7517
synth_15,NOPSOS-noSBS-symOFF,300,solved,14591.8,14591.75428905,0.0,0.0,0.875,0.875,114,15,15,17,156,2565,6120,3555,7517
synth_16,NOPSOS+DFA,300,solved,14245.9,14245.90082663,0.0,0.0,61.5781,61.5781,3231,15,14,17,156,2394,5712,3318,7592
synth_16,NOPSOS-noSBS-symON,300,limit,14654.6,14859.16788072,0.013958,1.3958,299.0312,299.0312,85729,15,14,17,156,2394,5712,3318,7158
synth_16,NOPSOS-noSBS-symOFF,300,limit,14654.6,14834.49262189,0.012274,1.2274,299.4375,299.4375,105133,15,14,17,156,2394,5712,3318,7158
synth_17,NOPSOS+DFA,300,solved,15453.4,15454.76112136,8.7e-05,0.0087,259.7188,259.7188,18533,15,15,17,156,2565,6120,3555,8433
synth_17,NOPSOS-noSBS-symON,300,limit,15525.9,15584.03823751,0.003744,0.3744,299.6875,299.6875,114444,15,15,17,156,2565,6120,3555,7967
synth_17,NOPSOS-noSBS-symOFF,300,limit,15525.9,15584.03823751,0.003744,0.3744,299.5938,299.5938,114648,15,15,17,156,2565,6120,3555,7967
synth_18,NOPSOS+DFA,300,solved,9409.45,9409.451301823,0.0,0.0,7.875,7.875,346,14,14,16,138,2128,5292,3164,7061
synth_18,NOPSOS-noSBS-symON,300,limit,9409.45,9414.191009368,0.000504,0.0504,299.4844,299.4844,126976,14,14,16,138,2128,5292,3164,6654
synth_18,NOPSOS-noSBS-symOFF,300,limit,9409.45,9414.191009368,0.000504,0.0504,299.5625,299.5625,126814,14,14,16,138,2128,5292,3164,6654
synth_19,NOPSOS+DFA,300,solved,8629.29,8629.291161647,0.0,0.0,15.1875,15.1875,1375,15,14,17,155,2380,5698,3318,7410
synth_19,NOPSOS-noSBS-symON,300,limit,9220.04,9879.583460568,0.071534,7.1534,299.5625,299.5625,130446,15,14,17,155,2380,5698,3318,6976
synth_19,NOPSOS-noSBS-symOFF,300,limit,9220.04,9879.583460568,0.071534,7.1534,299.625,299.625,130823,15,14,17,155,2380,5698,3318,6976
synth_20,NOPSOS+DFA,300,limit,14679.3,14777.20595734,0.0066679999999999994,0.6668,299.625,299.625,2525,20,19,22,261,5339,12369,7030,17655
synth_20,NOPSOS-noSBS-symON,300,limit,14707.3,14777.20595734,0.004755,0.4755,299.5312,299.5312,45986,20,19,22,261,5339,12369,7030,16876
synth_20,NOPSOS-noSBS-symOFF,300,limit,14707.3,14777.20595734,0.004755,0.4755,299.6406,299.6406,45909,20,19,22,261,5339,12369,7030,16876
synth_21,NOPSOS+DFA,300,solved,13855.3,13855.28617102,0.0,0.0,9.2344,9.2344,109,17,16,19,194,3376,8672,5296,11178
synth_21,NOPSOS-noSBS-symON,300,solved,13855.3,13855.28617102,0.0,0.0,1.25,1.25,79,17,16,19,194,3376,8672,5296,10618
synth_21,NOPSOS-noSBS-symOFF,300,solved,13855.3,13855.28617102,0.0,0.0,1.2656,1.2656,79,17,16,19,194,3376,8672,5296,10618
synth_22,NOPSOS+DFA,300,solved,9419.92,9419.915188316,0.0,0.0,15.4219,15.4219,95,18,18,20,216,4212,10404,6192,14533
synth_22,NOPSOS-noSBS-symON,300,solved,9419.92,9419.915188316,0.0,0.0,2.6406,2.6406,126,18,18,20,216,4212,10404,6192,13866
synth_22,NOPSOS-noSBS-symOFF,300,solved,9419.92,9419.915188316,0.0,0.0,2.6094,2.6094,126,18,18,20,216,4212,10404,6192,13866
synth_23,NOPSOS+DFA,300,limit,16037.2,16128.00558988,0.005664,0.5664,299.7969,299.7969,2315,21,19,23,285,5814,13091,7277,18566
synth_23,NOPSOS-noSBS-symON,300,limit,16084.9,16128.00558988,0.002677,0.2677,299.6094,299.6094,31298,21,19,23,285,5814,13091,7277,17750
synth_23,NOPSOS-noSBS-symOFF,300,limit,16084.9,16128.00558988,0.002677,0.2677,299.5312,299.5312,31242,21,19,23,285,5814,13091,7277,17750
synth_24,NOPSOS+DFA,300,solved,22767.7,22767.71914311,0.0,0.0,27.0312,27.0312,218,22,21,24,309,6951,15267,8316,22533
synth_24,NOPSOS-noSBS-symON,300,solved,22767.7,22767.71913495,0.0,0.0,4.7656,4.7656,185,22,21,24,309,6951,15267,8316,21588
synth_24,NOPSOS-noSBS-symOFF,300,solved,22767.7,22767.71913495,0.0,0.0,4.8125,4.8125,185,22,21,24,309,6951,15267,8316,21588
synth_25,NOPSOS+DFA,300,limit,17864.1,20306.40386662,0.136717,13.671700000000001,299.375,299.375,3300,19,18,21,238,4626,11052,6426,15360
synth_25,NOPSOS-noSBS-symON,300,limit,18099.5,20306.40386662,0.121929,12.1929,299.625,299.625,27652,19,18,21,238,4626,11052,6426,14658
synth_25,NOPSOS-noSBS-symOFF,300,limit,18099.5,20306.40386662,0.121929,12.1929,299.5781,299.5781,27606,19,18,21,238,4626,11052,6426,14658
synth_26,NOPSOS+DFA,300,solved,13548.6,13549.25345718,5.1000000000000006e-05,0.0051,35.4375,35.4375,1195,17,16,19,194,3376,8672,5296,11178
synth_26,NOPSOS-noSBS-symON,300,limit,13676.0,13741.95189401,0.004821,0.4821,299.4688,299.4688,56473,17,16,19,194,3376,8672,5296,10618
synth_26,NOPSOS-noSBS-symOFF,300,limit,13676.0,13741.95189401,0.004821,0.4821,299.625,299.625,56612,17,16,19,194,3376,8672,5296,10618
synth_27,NOPSOS+DFA,300,limit,17906.9,18322.56583891,0.02321,2.321,299.7031,299.7031,2335,26,24,28,421,10728,23832,13104,36148
synth_27,NOPSOS-noSBS-symON,300,solved,17906.9,17906.93862773,0.0,0.0,104.0781,104.0781,4084,26,24,28,421,10728,23832,13104,34877
synth_27,NOPSOS-noSBS-symOFF,300,solved,17906.9,17906.93862773,0.0,0.0,95.9375,95.9375,3610,26,24,28,421,10728,23832,13104,34877
synth_28,NOPSOS+DFA,300,limit,12803.0,14165.84462571,0.106447,10.6447,299.6875,299.6875,1154,24,22,26,362,8492,19844,11352,27925
synth_28,NOPSOS-noSBS-symON,300,limit,13478.7,14165.84462571,0.050983,5.0983,299.5781,299.5781,12931,24,22,26,362,8492,19844,11352,26848
synth_28,NOPSOS-noSBS-symOFF,300,limit,13478.7,14165.84462571,0.050983,5.0983,299.6094,299.6094,12903,24,22,26,362,8492,19844,11352,26848
synth_29,NOPSOS+DFA,300,limit,16815.6,18672.81235749,0.110444,11.0444,299.7188,299.7188,889,24,22,26,362,8492,19844,11352,27948
synth_29,NOPSOS-noSBS-symON,300,limit,17925.8,18672.81235749,0.041673,4.1673,299.7344,299.7344,19374,24,22,26,362,8492,19844,11352,26871
synth_29,NOPSOS-noSBS-symOFF,300,limit,17925.8,18672.81235749,0.041673,4.1673,299.7188,299.7188,17888,24,22,26,362,8492,19844,11352,26871
synth_30,NOPSOS+DFA,300,solved,21633.4,21633.41986691,0.0,0.0,44.0312,44.0312,107,23,22,25,337,7920,18942,11022,27685
synth_30,NOPSOS-noSBS-symON,300,solved,21633.4,21633.41986693,0.0,0.0,7.9062,7.9062,78,23,22,25,337,7920,18942,11022,26651
synth_30,NOPSOS-noSBS-symOFF,300,solved,21633.4,21633.41986693,0.0,0.0,7.8281,7.8281,78,23,22,25,337,7920,18942,11022,26651
